url,city,feature,current_status,gsc_clicks_3mo,gsc_impressions_3mo,ai_feature_impr_3mo,googlebot_req_14d,all_req_14d,matching_pools,matching_indexable,hub_indexable,internal_referer_hits_14d,external_referer_hits_14d,classification,proposed_destination
/public-pools/new-jersey/princeton/feature/olympic-size/,"Princeton, NJ",olympic-size,301 -> /public-pools/new-jersey/princeton/,0,0,0,0,2,1,1,True,1,1,CONSOLIDATE,/public-pools/new-jersey/princeton/
/public-pools/new-jersey/princeton/feature/splash-pad/,"Princeton, NJ",splash-pad,301 -> /public-pools/new-jersey/princeton/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/new-jersey/princeton/
/public-pools/new-mexico/albuquerque/feature/indoor/,"Albuquerque, NM",indoor,301 -> /public-pools/new-mexico/albuquerque/,3,56,0,0,3,1,1,True,2,0,CONSOLIDATE,/public-pools/new-mexico/albuquerque/
/public-pools/new-mexico/albuquerque/feature/kiddie-pool/,"Albuquerque, NM",kiddie-pool,301 -> /public-pools/new-mexico/albuquerque/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/new-mexico/albuquerque/
/public-pools/new-mexico/albuquerque/feature/lap-swimming/,"Albuquerque, NM",lap-swimming,301 -> /public-pools/new-mexico/albuquerque/,0,0,0,1,3,1,1,True,2,0,CONSOLIDATE,/public-pools/new-mexico/albuquerque/
/public-pools/new-mexico/albuquerque/feature/splash-pad/,"Albuquerque, NM",splash-pad,301 -> /public-pools/new-mexico/albuquerque/,0,0,4,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/new-mexico/albuquerque/
/public-pools/new-mexico/albuquerque/feature/wave-pool/,"Albuquerque, NM",wave-pool,301 -> /public-pools/new-mexico/albuquerque/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/new-mexico/albuquerque/
/public-pools/new-york/bronx/feature/olympic-size/,"Bronx, NY",olympic-size,301 -> /public-pools/new-york/bronx/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/new-york/bronx/
/public-pools/new-york/brooklyn/feature/olympic-size/,"Brooklyn, NY",olympic-size,301 -> /public-pools/new-york/brooklyn/,0,0,0,1,2,2,2,True,1,0,CONSOLIDATE,/public-pools/new-york/brooklyn/
/public-pools/new-york/garden-city/feature/kiddie-pool/,"Garden City, NY",kiddie-pool,301 -> /public-pools/new-york/garden-city/,0,0,0,0,1,2,2,True,0,0,CONSOLIDATE,/public-pools/new-york/garden-city/
/public-pools/new-york/garden-city/feature/lap-swimming/,"Garden City, NY",lap-swimming,301 -> /public-pools/new-york/garden-city/,2,15,0,0,1,3,3,True,0,0,REBUILD,/public-pools/new-york/garden-city/feature/lap-swimming/
/public-pools/new-york/new-york/feature/heated/,"New York, NY",heated,301 -> /public-pools/new-york/new-york/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/new-york/new-york/
/public-pools/new-york/new-york/feature/indoor/,"New York, NY",indoor,301 -> /public-pools/new-york/new-york/,3,88,0,0,2,1,1,True,0,1,CONSOLIDATE,/public-pools/new-york/new-york/
/public-pools/new-york/new-york/feature/kiddie-pool/,"New York, NY",kiddie-pool,301 -> /public-pools/new-york/new-york/,0,0,0,0,2,0,0,True,2,0,CONSOLIDATE,/public-pools/new-york/new-york/
/public-pools/new-york/new-york/feature/water-slides/,"New York, NY",water-slides,301 -> /public-pools/new-york/new-york/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/new-york/new-york/
/public-pools/new-york/queens/feature/water-slides/,"Queens, NY",water-slides,301 -> /public-pools/new-york/queens/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/new-york/queens/
/public-pools/new-york/staten-island/feature/heated/,"Staten Island, NY",heated,301 -> /public-pools/new-york/staten-island/,0,0,0,0,2,2,2,True,2,0,CONSOLIDATE,/public-pools/new-york/staten-island/
/public-pools/new-york/staten-island/feature/indoor/,"Staten Island, NY",indoor,301 -> /public-pools/new-york/staten-island/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/new-york/staten-island/
/public-pools/new-york/staten-island/feature/kiddie-pool/,"Staten Island, NY",kiddie-pool,301 -> /public-pools/new-york/staten-island/,0,0,0,0,1,3,3,True,1,0,CONSOLIDATE,/public-pools/new-york/staten-island/
/public-pools/new-york/staten-island/feature/olympic-size/,"Staten Island, NY",olympic-size,301 -> /public-pools/new-york/staten-island/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/new-york/staten-island/
