url,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,current_status,current_target,wrong_audience_now,intent,proposed_rule,proposed_destination,dest_h1
/p/albuquerque-nm,1,2026-07-29,2026-07-29,0,0,301,/p/become-a-swimming-pool-host-albuquerque-nm,True,guest-city,2 public-pools city hub,/public-pools/new-mexico/albuquerque/,
/p/alquiler-de-piscinas-miami-fl,1,2026-08-10,2026-08-10,0,0,404,,False,guest-city,3 search,/s?address=Alquiler+De+Piscinas+Miami%2C+FL,
/p/bellingham-wa,1,2026-07-17,2026-07-17,0,0,301,/p/become-a-swimming-pool-host-bellingham-wa,True,guest-city,3 search,/s?address=Bellingham%2C+WA,
/p/boise-id,1,2026-07-29,2026-07-29,0,0,301,/p/become-a-swimming-pool-host-boise-id,True,guest-city,2 public-pools city hub,/public-pools/idaho/boise/,
/p/bothell-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Bothell%2C+WA,
/p/chantilly-va,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/chantilly-va,
/p/charlotte-hall-md,1,2026-07-15,2026-07-15,3,22,200,,False,guest-city,KEEP (live page),/p/charlotte-hall-md,
/p/cincinnati-oh,1,2026-09-16,2026-09-16,0,0,200,,False,guest-city,KEEP (live page),/p/cincinnati-oh,
/p/corporate-pool-event-venue-lenexa-ks,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/corporate-pool-event-venue-lenexa-ks,
/p/corporate-pool-event-venue-midland-mi,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/corporate-pool-event-venue-midland-mi,
/p/east-northport-ny,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/east-northport-ny,
/p/edmonds-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Edmonds%2C+WA,
/p/everett-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Everett%2C+WA,
/p/family-reunion-pool-rental-owasso-ok,1,2026-09-16,2026-09-16,0,0,200,,False,guest-city,KEEP (live page),/p/family-reunion-pool-rental-owasso-ok,
/p/family-reunion-pool-rental-portage-mi,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/family-reunion-pool-rental-portage-mi,
/p/federal-way-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Federal+Way%2C+WA,
/p/fontana-ca,1,2026-09-13,2026-09-13,0,0,404,,False,guest-city,2 public-pools city hub,/public-pools/california/fontana/,
/p/gastonia-nc,1,2026-07-16,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-gastonia-nc,True,guest-city,3 search,/s?address=Gastonia%2C+NC,
/p/glendora-ca,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/glendora-ca,
/p/graduation-pool-party-bowling-green-ky,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/graduation-pool-party-bowling-green-ky,
/p/graduation-pool-party-gallatin-tn,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/graduation-pool-party-gallatin-tn,
/p/graduation-pool-party-gastonia-nc,1,2026-09-16,2026-09-16,0,0,200,,False,guest-city,KEEP (live page),/p/graduation-pool-party-gastonia-nc,
/p/guide-to-family-reunion-pool-rental-joliet-il,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-family-reunion-pool-rental-joliet-il,
/p/guide-to-family-reunion-pool-rental-lees-summit-mo,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-family-reunion-pool-rental-lees-summit-mo,
/p/guide-to-family-reunion-pool-rental-mesa-az,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-family-reunion-pool-rental-mesa-az,
/p/guide-to-family-reunion-pool-rental-mission-tx,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-family-reunion-pool-rental-mission-tx,
/p/guide-to-family-reunion-pool-rental-peoria-il,1,2026-07-15,2026-07-15,4,58,200,,False,event-guest,KEEP (live page),/p/guide-to-family-reunion-pool-rental-peoria-il,
